Ticker,Date,Current_Value,Previous_Value,Previous_Date,Difference_Num,Difference_Pct,Check_Type,Threshold_Applied,Direction
DJCA,2019-08-29,8739.01,8625.66,2019-08-28,113.35,0.0131,DoD,0.01,up
DJCA,2019-09-05,8872.87,8767.65,2019-09-04,105.22,0.012,DoD,0.01,up
DJCA,2019-10-01,8835.45,8961.15,2019-09-30,-125.7,-0.014,DoD,0.01,down
DJCA,2019-10-02,8672.26,8835.45,2019-10-01,-163.19,-0.0185,DoD,0.01,down
DJCA,2019-10-04,8827.92,8710.66,2019-10-03,117.26,0.0135,DoD,0.01,up
DJCA,2019-10-08,8684.32,8798.55,2019-10-07,-114.23,-0.013,DoD,0.01,down
DJCA,2019-10-11,8904.75,8805.96,2019-10-10,98.79,0.0112,DoD,0.01,up
DJCA,2019-11-01,9103.41,8994.23,2019-10-31,109.18,0.0121,DoD,0.01,up
DJCA,2019-12-03,9050.72,9145.63,2019-12-02,-94.91,-0.0104,DoD,0.01,down
DJCA,2020-01-27,9456.34,9603.24,2020-01-24,-146.9,-0.0153,DoD,0.01,down
DJCA,2020-01-31,9370.29,9550.49,2020-01-30,-180.2,-0.0189,DoD,0.01,down
DJCA,2020-02-04,9506.66,9406.73,2020-02-03,99.93,0.0106,DoD,0.01,up
DJCA,2020-02-05,9638.33,9506.66,2020-02-04,131.67,0.0139,DoD,0.01,up
DJCA,2020-02-24,9296.87,9602.49,2020-02-21,-305.62,-0.0318,DoD,0.01,down
DJCA,2020-02-25,8996.46,9296.87,2020-02-24,-300.41,-0.0323,DoD,0.01,down
DJCA,2020-02-25,8996.46,9661.41,2020-02-18,-664.95,-0.0688,WoW,0.05,down
DJCA,2020-02-26,8909.77,9680.12,2020-02-19,-770.35,-0.0796,WoW,0.05,down
DJCA,2020-02-27,8530.18,8909.77,2020-02-26,-379.59,-0.0426,DoD,0.01,down
DJCA,2020-02-27,8530.18,9679.08,2020-02-20,-1148.9,-0.1187,WoW,0.05,down
DJCA,2020-02-28,8394.63,8530.18,2020-02-27,-135.55,-0.0159,DoD,0.01,down
DJCA,2020-02-28,8394.63,9602.49,2020-02-21,-1207.86,-0.1258,WoW,0.05,down
DJCA,2020-03-02,8746.05,8394.63,2020-02-28,351.42,0.0419,DoD,0.01,up
DJCA,2020-03-02,8746.05,9296.87,2020-02-24,-550.82,-0.0592,WoW,0.05,down
DJCA,2020-03-03,8520.3,8746.05,2020-03-02,-225.75,-0.0258,DoD,0.01,down
DJCA,2020-03-03,8520.3,8996.46,2020-02-25,-476.16,-0.0529,WoW,0.05,down
DJCA,2020-03-04,8900.54,8520.3,2020-03-03,380.24,0.0446,DoD,0.01,up
DJCA,2020-03-05,8575.61,8900.54,2020-03-04,-324.93,-0.0365,DoD,0.01,down
DJCA,2020-03-09,7842.88,8503.09,2020-03-06,-660.21,-0.0776,DoD,0.01,down
DJCA,2020-03-09,7842.88,8746.05,2020-03-02,-903.17,-0.1033,WoW,0.05,down
DJCA,2020-03-10,8172.27,7842.88,2020-03-09,329.39,0.042,DoD,0.01,up
DJCA,2020-03-11,7720.97,8172.27,2020-03-10,-451.3,-0.0552,DoD,0.01,down
DJCA,2020-03-11,7720.97,8900.54,2020-03-04,-1179.57,-0.1325,WoW,0.05,down
DJCA,2020-03-12,6924.4,7720.97,2020-03-11,-796.57,-0.1032,DoD,0.01,down
DJCA,2020-03-12,6924.4,8575.61,2020-03-05,-1651.21,-0.1925,WoW,0.05,down
DJCA,2020-03-13,7519.6,6924.4,2020-03-12,595.2,0.086,DoD,0.01,up
DJCA,2020-03-13,7519.6,8503.09,2020-03-06,-983.49,-0.1157,WoW,0.05,down
DJCA,2020-03-16,6596.71,7519.6,2020-03-13,-922.89,-0.1227,DoD,0.01,down
DJCA,2020-03-16,6596.71,7842.88,2020-03-09,-1246.17,-0.1589,WoW,0.05,down
DJCA,2020-03-17,7059.9,6596.71,2020-03-16,463.19,0.0702,DoD,0.01,up
DJCA,2020-03-17,7059.9,8172.27,2020-03-10,-1112.37,-0.1361,WoW,0.05,down
DJCA,2020-03-18,6638.87,7059.9,2020-03-17,-421.03,-0.0596,DoD,0.01,down
DJCA,2020-03-18,6638.87,7720.97,2020-03-11,-1082.1,-0.1402,WoW,0.05,down
DJCA,2020-03-20,6304.73,6621.89,2020-03-19,-317.16,-0.0479,DoD,0.01,down
DJCA,2020-03-20,6304.73,7519.6,2020-03-13,-1214.87,-0.1616,WoW,0.05,down
DJCA,2020-03-23,6100.31,6304.73,2020-03-20,-204.42,-0.0324,DoD,0.01,down
DJCA,2020-03-23,6100.31,6596.71,2020-03-16,-496.4,-0.0752,WoW,0.05,down
DJCA,2020-03-24,6797.83,6100.31,2020-03-23,697.52,0.1143,DoD,0.01,up
DJCA,2020-03-25,6975.88,6797.83,2020-03-24,178.05,0.0262,DoD,0.01,up
DJCA,2020-03-25,6975.88,6638.87,2020-03-18,337.01,0.0508,WoW,0.05,up
DJCA,2020-03-26,7412.43,6975.88,2020-03-25,436.55,0.0626,DoD,0.01,up
DJCA,2020-03-26,7412.43,6621.89,2020-03-19,790.54,0.1194,WoW,0.05,up
DJCA,2020-03-27,7165.62,7412.43,2020-03-26,-246.81,-0.0333,DoD,0.01,down
DJCA,2020-03-27,7165.62,6304.73,2020-03-20,860.89,0.1365,WoW,0.05,up
